date,timestamp_pst,campaign_id,campaign_name,adset_id,ad_id,objective,placement,impressions,clicks,spend_usd,currency,conversions,conversion_value_usd
2026-01-13,2026-01-13 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,REACH,facebook_feed,68618,606,360.84,USD,33,3371.8
2026-01-14,2026-01-14 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,CONVERSIONS,audience_network,53018,499,1324.11,USD,5,936.83
2026-01-15,2026-01-15 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,REACH,messenger,12956,158,431.41,USD,11,1886.77
2026-01-16,2026-01-16 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,LINK_CLICKS,messenger,10328,203,609.68,USD,3,223.63
2026-01-17,2026-01-17 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,VIDEO_VIEWS,facebook_feed,55506,487,1012.27,USD,13,1820.68
2026-01-18,2026-01-18 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,REACH,instagram_feed,51918,959,2500.74,USD,38,2152.94
2026-01-18,2026-01-18 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_1,ad_1184_1_0,LINK_CLICKS,messenger,39559,393,1334.66,USD,18,1514.61
2026-01-18,2026-01-18 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_0,CONVERSIONS,audience_network,75420,715,2004.66,USD,41,5915.55
2026-01-18,2026-01-18 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_1,CONVERSIONS,facebook_feed,44129,554,1287.69,USD,38,2487.46
2026-01-19,2026-01-19 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,REACH,audience_network,74979,1872,3423.96,USD,64,5787.19
2026-01-19,2026-01-19 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_1,CONVERSIONS,messenger,56544,803,2215.82,USD,58,5875.77
2026-01-19,2026-01-19 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_0,REACH,audience_network,15637,328,363.78,USD,6,707.37
2026-01-19,2026-01-19 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_1,ad_1184_1_0,REACH,facebook_feed,72127,1520,2410.95,USD,21,2792.88
2026-01-20,2026-01-20 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,REACH,instagram_stories,61438,1322,1943.81,USD,35,4455.51
2026-01-20,2026-01-20 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_1,VIDEO_VIEWS,facebook_feed,6118,67,155.01,USD,1,70.36
2026-01-20,2026-01-20 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_1,ad_1184_1_0,REACH,messenger,16594,181,170.24,USD,4,423.0
2026-01-20,2026-01-20 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_0,VIDEO_VIEWS,instagram_stories,62799,1526,2555.36,USD,36,3203.54
2026-01-21,2026-01-21 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,REACH,facebook_feed,64297,896,1515.38,USD,54,10652.74
2026-01-21,2026-01-21 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_1,CONVERSIONS,messenger,17856,353,1161.69,USD,7,548.91
2026-01-21,2026-01-21 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_0,VIDEO_VIEWS,messenger,47016,485,462.65,USD,27,4752.65
2026-01-21,2026-01-21 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_1,ad_1184_1_0,REACH,audience_network,79828,1489,1922.31,USD,35,3297.48
2026-01-22,2026-01-22 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,LINK_CLICKS,facebook_feed,44365,1095,1253.19,USD,35,5720.53
2026-01-22,2026-01-22 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_1,ad_1184_1_0,VIDEO_VIEWS,messenger,66198,1361,2274.52,USD,79,11693.76
2026-01-22,2026-01-22 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_1,REACH,instagram_stories,15164,99,297.33,USD,6,747.84
2026-01-22,2026-01-22 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_0,CONVERSIONS,instagram_feed,29465,671,1677.59,USD,23,1787.93
2026-01-23,2026-01-23 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,REACH,facebook_feed,9946,141,136.53,USD,4,729.36
2026-01-23,2026-01-23 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_1,ad_1184_1_0,REACH,messenger,32344,747,886.86,,,
2026-01-23,2026-01-23 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_0,VIDEO_VIEWS,instagram_stories,40160,780,2596.01,USD,57,5339.79
2026-01-23,2026-01-23 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_1,CONVERSIONS,audience_network,78966,1140,3501.78,USD,42,7937.62
2026-01-23,2026-01-23 23:59:59,1241,HomeBase_Seasonal_National_Q1,adset_1241_0,ad_1241_0_0,REACH,facebook_feed,6801,77,115.18,USD,2,190.23
2026-01-23,2026-01-23 23:59:59,1241,HomeBase_Seasonal_National_Q1,adset_1241_0,ad_1241_0_1,CONVERSIONS,instagram_stories,76399,1542,1634.08,USD,112,4491.88
2026-01-24,2026-01-24 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,CONVERSIONS,messenger,79774,1036,3370.78,USD,63,9813.69
2026-01-24,2026-01-24 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_1,REACH,instagram_feed,54976,711,2156.26,USD,16,2824.83
2026-01-24,2026-01-24 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_0,REACH,messenger,45153,684,2013.9,USD,15,1557.84
2026-01-24,2026-01-24 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_1,ad_1184_1_0,REACH,facebook_feed,36404,449,1190.84,USD,35,2887.89
2026-01-24,2026-01-24 23:59:59,1241,HomeBase_Seasonal_National_Q1,adset_1241_0,ad_1241_0_1,REACH,instagram_feed,60099,853,1024.1,USD,53,5268.24
2026-01-24,2026-01-24 23:59:59,1241,HomeBase_Seasonal_National_Q1,adset_1241_0,ad_1241_0_0,VIDEO_VIEWS,instagram_stories,52092,1191,2452.82,USD,78,8475.8
2026-01-25,2026-01-25 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,VIDEO_VIEWS,audience_network,44373,255,745.88,USD,9,1483.38
2026-01-25,2026-01-25 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_1,CONVERSIONS,facebook_feed,45494,421,1233.02,USD,17,1802.41
2026-01-25,2026-01-25 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_1,ad_1184_1_0,LINK_CLICKS,facebook_feed,8930,140,358.23,USD,2,380.85
2026-01-25,2026-01-25 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_0,REACH,instagram_stories,39704,715,1609.15,USD,19,3487.67
2026-01-25,2026-01-25 23:59:59,1241,HomeBase_Seasonal_National_Q1,adset_1241_0,ad_1241_0_0,CONVERSIONS,instagram_feed,63216,839,2751.36,USD,32,4147.91
2026-01-25,2026-01-25 23:59:59,1241,HomeBase_Seasonal_National_Q1,adset_1241_0,ad_1241_0_1,VIDEO_VIEWS,instagram_stories,51886,487,273.44,USD,14,1632.76
2026-01-26,2026-01-26 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,REACH,messenger,20799,465,740.84,,25,3409.21
2026-01-26,2026-01-26 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_1,ad_1184_1_0,VIDEO_VIEWS,instagram_stories,19736,294,713.96,USD,,
2026-01-26,2026-01-26 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_0,REACH,instagram_stories,15407,190,407.92,USD,3,567.62
2026-01-26,2026-01-26 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_1,VIDEO_VIEWS,facebook_feed,28097,383,1232.31,USD,25,2039.05
2026-01-26,2026-01-26 23:59:59,1241,HomeBase_Seasonal_National_Q1,adset_1241_0,ad_1241_0_1,CONVERSIONS,instagram_stories,41960,776,947.62,USD,15,1201.28
2026-01-26,2026-01-26 23:59:59,1241,HomeBase_Seasonal_National_Q1,adset_1241_0,ad_1241_0_0,CONVERSIONS,messenger,40304,444,1252.8,USD,19,3524.57
2026-01-27,2026-01-27 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,VIDEO_VIEWS,audience_network,10397,118,258.98,USD,3,454.93
2026-01-27,2026-01-27 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_1,REACH,instagram_feed,66345,336,448.89,USD,4,689.55
2026-01-27,2026-01-27 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_0,LINK_CLICKS,instagram_feed,24344,230,421.85,USD,9,1191.32
2026-01-27,2026-01-27 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_1,ad_1184_1_0,CONVERSIONS,facebook_feed,62583,1479,1018.51,USD,110,10867.78
2026-01-27,2026-01-27 23:59:59,1241,HomeBase_Seasonal_National_Q1,adset_1241_0,ad_1241_0_1,VIDEO_VIEWS,facebook_feed,75068,882,2233.29,CAD,61,8149.2
2026-01-27,2026-01-27 23:59:59,1241,HomeBase_Seasonal_National_Q1,adset_1241_0,ad_1241_0_0,CONVERSIONS,instagram_stories,15487,218,191.42,USD,3,278.88
2026-01-28,2026-01-28 23:59:59,1064,HomeBase_Furniture_National_Q1,adset_1064_0,ad_1064_0_0,CONVERSIONS,messenger,71155,483,867.37,USD,31,1974.14
2026-01-28,2026-01-28 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_1,ad_1184_1_0,LINK_CLICKS,messenger,16382,243,241.4,USD,3,178.38
2026-01-28,2026-01-28 23:59:59,1184,HomeBase_Outdoor_West_Q1,adset_1184_0,ad_1184_0_1,VIDEO_VIEWS,messenger,60760,335,470.13,USD,26,3919.97
